id_code,year,st,cnty,num_anglers,mode_fx,area_x,hrsf,ffdays2,cntrbtrs,sub_reg,wave,prim1,prim2,region,tot_cat_targ
1574920170220003,2017,12,87,1,5,4,2.5,3,2,7,1,8850030502,NA,FL_Keys,3
1574920170220006,2017,12,87,2,5,3,4,0,2,7,1,8835360000,NA,FL_Keys,0
1574920170220008,2017,12,87,2,5,3,4,0,1,7,1,NA,NA,FL_Keys,0
1574920170220010,2017,12,87,4,5,4,7,0,4,7,1,NA,NA,FL_Keys,0
1574920170220014,2017,12,87,1,5,4,6,0,1,7,1,8850060101,NA,FL_Keys,0.7163736854272245
1574920170220016,2017,12,87,2,5,4,8,0,3,7,1,8850060101,NA,FL_Keys,1.3123197535296016
1507120170312007,2017,12,87,2,7,4,4,25,2,7,2,NA,NA,FL_Keys,0
1507120170312009,2017,12,87,1,7,3,3,42,2,7,2,8835430000,8839010901,FL_Keys,0
1507120170312010,2017,12,87,1,7,3,3,8,1,7,2,NA,NA,FL_Keys,3
1507120170312011,2017,12,87,1,7,4,3.5,10,1,7,2,8835360401,NA,FL_Keys,0
1507120170312012,2017,12,87,2,7,4,5,32,2,7,2,8839010901,NA,FL_Keys,0
1507120170312014,2017,12,87,2,7,3,6,21,2,7,2,8835400000,8835430000,FL_Keys,0
1507120170312016,2017,12,87,1,7,4,8,6,1,7,2,8738020201,NA,FL_Keys,21.685082709500364
1507120170312017,2017,12,87,2,7,4,4,8,2,7,2,8835430000,8835400000,FL_Keys,0.9475137849167276
1507120170312019,2017,12,87,1,7,4,3.5,7,2,7,2,8835360401,NA,FL_Keys,6.072605708069445
1507120170318001,2017,12,87,1,7,3,4.5,55,1,7,2,8837010104,NA,FL_Keys,0
1507120170318004,2017,12,87,1,7,3,3.5,3,2,7,2,NA,NA,FL_Keys,0
1507120170408001,2017,12,87,1,7,3,3,45,1,7,2,8839010901,NA,FL_Keys,0
1507120170408002,2017,12,87,1,7,3,2,25,1,7,2,8839010901,NA,FL_Keys,3
1507120170408003,2017,12,87,1,7,3,7,4,1,7,2,NA,NA,FL_Keys,5
1507120170408005,2017,12,87,2,7,3,2,4,1,7,2,8835360102,NA,FL_Keys,2
1563120170310003,2017,12,87,1,5,3,4,0,3,7,2,NA,NA,FL_Keys,4
1563120170310004,2017,12,87,1,5,3,3,0,6,7,2,NA,NA,FL_Keys,1
1563120170310005,2017,12,87,2,5,4,3,2,3,7,2,NA,NA,FL_Keys,0
1563120170310007,2017,12,87,2,5,4,4.5,0,2,7,2,8835360401,NA,FL_Keys,13.752118546442505
1563120170319001,2017,12,87,2,7,3,3,8,2,7,2,8835360112,NA,FL_Keys,1
1563120170319004,2017,12,87,3,7,4,4,1,3,7,2,8835360401,NA,FL_Keys,5.7141119135638485
1563120170319007,2017,12,87,1,7,4,4,12,1,7,2,NA,NA,FL_Keys,1.9047039711879494
1563120170401001,2017,12,87,2,7,3,6,3,3,7,2,NA,NA,FL_Keys,1.9563902354660392
1563120170401003,2017,12,87,1,7,3,6,0,2,7,2,NA,NA,FL_Keys,1.9563902354660392
1563120170426004,2017,12,87,1,7,3,2,1,1,7,2,8835360401,NA,FL_Keys,8
1563120170426006,2017,12,87,1,7,4,4,1,1,7,2,8835290101,NA,FL_Keys,0
1572020170308002,2017,12,87,1,7,3,3,3,1,7,2,NA,NA,FL_Keys,0
1572020170311001,2017,12,87,1,7,4,4,8,2,7,2,8835360401,NA,FL_Keys,15.747274376524238
1572020170311003,2017,12,87,1,7,3,3,10,2,7,2,NA,NA,FL_Keys,0
1572020170311007,2017,12,87,4,7,3,5,0,1,7,2,NA,NA,FL_Keys,20
1572020170311008,2017,12,87,1,7,4,8,0,3,7,2,NA,NA,FL_Keys,11.16726435849333
1572020170311009,2017,12,87,1,7,3,6,15,1,7,2,8835360000,NA,FL_Keys,0
1572020170311010,2017,12,87,1,7,4,6,0,3,7,2,8835360103,NA,FL_Keys,0.544484290566222
1572020170323001,2017,12,87,2,7,3,3,35,2,7,2,8835360401,NA,FL_Keys,0
1572020170326001,2017,12,87,1,7,3,0.5,50,1,7,2,NA,NA,FL_Keys,0
1572020170326002,2017,12,87,1,7,3,3,5,1,7,2,NA,NA,FL_Keys,0
1572020170326003,2017,12,87,1,7,3,3,5,1,7,2,NA,NA,FL_Keys,0
1572020170406001,2017,12,87,4,5,3,2.5,0,4,7,2,8708020000,NA,FL_Keys,0
1572020170406005,2017,12,87,2,5,4,3,0,5,7,2,NA,NA,FL_Keys,0
1572020170406007,2017,12,87,2,5,4,4,0,6,7,2,NA,NA,FL_Keys,0
1572020170406009,2017,12,87,1,5,4,6,0,6,7,2,NA,NA,FL_Keys,0
1572020170406010,2017,12,87,4,5,4,6.5,2,4,7,2,8708020000,NA,FL_Keys,0
1572020170408002,2017,12,87,1,7,3,4,15,1,7,2,NA,NA,FL_Keys,0
1572020170408004,2017,12,87,2,7,3,2,4,1,7,2,NA,NA,FL_Keys,0
1572020170408007,2017,12,87,2,7,3,7,6,2,7,2,NA,NA,FL_Keys,0
1572020170408009,2017,12,87,1,7,3,4,2,1,7,2,8835010100,NA,FL_Keys,0
1572020170408013,2017,12,87,3,7,3,3,3,4,7,2,NA,NA,FL_Keys,0
1572020170408018,2017,12,87,2,7,3,6,4,1,7,2,NA,NA,FL_Keys,0
1572020170409004,2017,12,87,1,7,3,1,0,1,7,2,8837010104,NA,FL_Keys,0
1572020170409005,2017,12,87,1,7,3,3,1,1,7,2,NA,NA,FL_Keys,2
1572020170421001,2017,12,87,3,5,4,3,10,1,7,2,NA,NA,FL_Keys,0
1572020170421003,2017,12,87,3,5,4,3,0,1,7,2,NA,NA,FL_Keys,0
1573520170309001,2017,12,87,4,5,4,4,0,1,7,2,8835260101,NA,FL_Keys,0
1573520170309008,2017,12,87,1,7,3,2,2,1,7,2,NA,NA,FL_Keys,1
1573520170314001,2017,12,87,4,5,4,4.5,0,4,7,2,8850060101,NA,FL_Keys,10.20843012333215
1573520170314005,2017,12,87,4,5,4,5,0,4,7,2,NA,NA,FL_Keys,0
1573520170318001,2017,12,87,2,5,3,4,0,1,7,2,NA,NA,FL_Keys,0
1573520170330001,2017,12,87,1,5,3,4,0,1,7,2,NA,NA,FL_Keys,0
1573520170330002,2017,12,87,1,5,3,3,2,1,7,2,NA,NA,FL_Keys,0
1573520170331001,2017,12,87,2,7,4,3,10,3,7,2,8839010901,NA,FL_Keys,0
1573520170409001,2017,12,87,2,5,4,3,0,4,7,2,NA,NA,FL_Keys,1.5596492726481452
1573520170409003,2017,12,87,3,5,4,2.5,0,3,7,2,NA,NA,FL_Keys,0
1573520170416001,2017,12,87,2,7,3,3,9,1,7,2,NA,NA,FL_Keys,0
1573520170416002,2017,12,87,2,7,3,3,4,1,7,2,NA,NA,FL_Keys,0
1573520170429003,2017,12,87,2,5,4,6,1,5,7,2,NA,NA,FL_Keys,21.365875732252313
1573520170429005,2017,12,87,2,5,4,6,2,2,7,2,8850060000,8835290101,FL_Keys,0.9748285986478141
1573520170429007,2017,12,87,2,5,4,6.5,5,4,7,2,8850060000,NA,FL_Keys,0
1507120170512002,2017,12,87,3,7,4,4.5,6,5,7,3,8835020000,8835360401,FL_Keys,13.238118258676472
1507120170512005,2017,12,87,3,7,3,4,2,1,7,3,NA,NA,FL_Keys,0
1507120170512007,2017,12,87,3,7,3,4,2,1,7,3,NA,NA,FL_Keys,0
1507120170512006,2017,12,87,3,7,3,4,2,1,7,3,NA,NA,FL_Keys,0
1507120170602001,2017,12,87,2,5,3,3,0,2,7,3,NA,NA,FL_Keys,0
1507120170602003,2017,12,87,1,5,4,3,1,1,7,3,8835360103,NA,FL_Keys,6.609468908165574
1507120170602004,2017,12,87,1,5,3,4,1,1,7,3,8738020201,NA,FL_Keys,0
1507120170611002,2017,12,87,2,7,3,1,2,1,7,3,8835360102,NA,FL_Keys,0
1507120170625001,2017,12,87,2,5,4,2.5,0,2,7,3,NA,NA,FL_Keys,0
1563120170513001,2017,12,87,3,5,4,3,0,3,7,3,NA,NA,FL_Keys,27.153129286659322
1563120170513008,2017,12,87,1,5,4,6,0,2,7,3,NA,NA,FL_Keys,1.4722986063778072
1563120170611007,2017,12,87,1,7,3,2,0,1,7,3,NA,NA,FL_Keys,5
1563120170617002,2017,12,87,1,5,4,4,0,1,7,3,NA,NA,FL_Keys,2
1563120170621001,2017,12,87,2,5,4,3.5,0,2,7,3,NA,NA,FL_Keys,0
1563120170621006,2017,12,87,1,5,3,4,8,3,7,3,8835360401,NA,FL_Keys,0.35553333491242056
1563120170621007,2017,12,87,1,5,3,2,4,1,7,3,NA,NA,FL_Keys,0
1563120170626001,2017,12,87,3,7,3,3,0,3,7,3,NA,NA,FL_Keys,0
1572020170507003,2017,12,87,1,7,4,6,10,1,7,3,8835360103,NA,FL_Keys,7
1572020170507004,2017,12,87,1,5,4,4,0,2,7,3,8835360000,NA,FL_Keys,4.152438528811268
1572020170509001,2017,12,87,2,5,3,4,0,1,7,3,8738020201,NA,FL_Keys,0
1572020170511002,2017,12,87,2,5,3,5,0,2,7,3,8738020201,NA,FL_Keys,0
